"filename", "language", "HTML", "XML", "JSON", "C#", "CSS", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\demo\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 747, 0, 226, 84, 1057
"c:\Users\Administrator\Desktop\demo\js\index.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\demo\js\jquery-3.2.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 5363, 0, 1, 2, 5366
"c:\Users\Administrator\Desktop\demo\js\jquery-ui.js", "JavaScript", 0, 0, 0, 0, 0, 16644, 0, 871, 1191, 18706
"c:\Users\Administrator\Desktop\demo\js\moveable.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 9, 0, 10
"c:\Users\Administrator\Desktop\demo\js\propeller.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\demo\js\qrcode.min.js", "JavaScript", 0, 0, 0, 0, 0, 3621, 0, 1, 3, 3625
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\emotion\emotion.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 0, 14, 88
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\emotion\emotion.js", "JavaScript", 0, 0, 0, 0, 0, 209, 0, 9, 55, 273
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\formula\formula.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\formula\formula.html", "HTML", 196, 0, 0, 0, 0, 0, 0, 0, 16, 212
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\formula\formula.js", "JavaScript", 0, 0, 0, 0, 0, 100, 0, 6, 19, 125
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\image\image.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 3, 10, 43
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\image\image.js", "JavaScript", 0, 0, 0, 0, 0, 338, 0, 22, 86, 446
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\link\link.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 3, 4, 74
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\map\map.html", "HTML", 131, 0, 0, 0, 0, 0, 0, 2, 15, 148
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\map\map.js", "JavaScript", 0, 0, 0, 0, 0, 218, 0, 4, 42, 264
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\video\video.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 1, 3, 59
"c:\Users\Administrator\Desktop\demo\umeditor\dialogs\video\video.js", "JavaScript", 0, 0, 0, 0, 0, 220, 0, 33, 30, 283
"c:\Users\Administrator\Desktop\demo\umeditor\jsp\Uploader.java", "Java", 0, 0, 0, 0, 0, 0, 189, 45, 27, 261
"c:\Users\Administrator\Desktop\demo\umeditor\jsp\getContent.jsp", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Administrator\Desktop\demo\umeditor\jsp\imageUp.jsp", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Administrator\Desktop\demo\umeditor\lang\en\en.js", "JavaScript", 0, 0, 0, 0, 0, 145, 0, 4, 1, 150
"c:\Users\Administrator\Desktop\demo\umeditor\lang\zh-cn\zh-cn.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 4, 3, 150
"c:\Users\Administrator\Desktop\demo\umeditor\themes\default\css\umeditor.css", "CSS", 0, 0, 0, 0, 678, 0, 0, 28, 67, 773
"c:\Users\Administrator\Desktop\demo\umeditor\themes\default\css\umeditor.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 2, 8
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\font\Symbola.svg", "XML", 0, 5102, 0, 0, 0, 0, 0, 0, 0, 5102
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneral-webfont.svg", "XML", 0, 3318, 0, 0, 0, 0, 0, 0, 0, 3318
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbol-webfont.svg", "XML", 0, 1738, 0, 0, 0, 0, 0, 0, 0, 1738
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbolita-webfont.svg", "XML", 0, 1137, 0, 0, 0, 0, 0, 0, 0, 1137
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralitalic-webfont.svg", "XML", 0, 1089, 0, 0, 0, 0, 0, 0, 0, 1089
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\mathquill.css", "CSS", 0, 0, 0, 0, 348, 0, 0, 9, 1, 358
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\mathquill.js", "JavaScript", 0, 0, 0, 0, 0, 2827, 0, 508, 554, 3889
"c:\Users\Administrator\Desktop\demo\umeditor\third-party\mathquill\mathquill.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\demo\umeditor\umeditor.config.js", "JavaScript", 0, 0, 0, 0, 0, 107, 0, 170, 48, 325
"c:\Users\Administrator\Desktop\demo\umeditor\umeditor.js", "JavaScript", 0, 0, 0, 0, 0, 7720, 0, 2229, 1058, 11007
"Total", "-", 4414, 37236, 637, 90, 5141, 149766, 567, 13602, 10941, 222394
